,Song title,Artist,Year
0,"""Ai no mama ni Wagamama ni Boku wa Kimi dake o Kizutsukenai"" (愛のままにわがままに 僕は君だけを傷つけない)",B'z,1993
1,"""Aishiteru no ni, aisenai"" (愛してるのに、愛せない)",AAA,2015
2,"""Baka Mitai"" (馬鹿みたい)",Takaya Kuroda,2015
3,"""Blue Bird""",Ayumi Hamasaki,2006
4,"""Camouflage"" (カムフラージュ)",Mariya Takeuchi,1998
5,"""Dilemma""","Nelly, Kelly Rowland",2002
6,"""Don't say ""lazy""""","Yōko Hikasa, Aki Toyosaki, Satomi Satō, Minako Kotobuki",2009
7,"""Donut Hole"" (ドーナツホール)",Hachi,2013
8,"""Egao no genki"" (笑顔のゲンキ)",SMAP,1992
9,"""Everything""",Misia,2000
10,"""Fragile""",Every Little Thing,2001
11,"""future gazer""",fripSide,2010
12,"""Gelaende ga tokeru hodo koishitai"" (ゲレンデがとけるほど恋したい)",Kohmi Hirose,1995
13,"""GO! GO! MANIAC""","Yōko Hikasa, Aki Toyosaki, Satomi Satō, Minako Kotobuki",2010
14,"""God knows...""",Aya Hirano,2006
15,"""Gravity""",Luna Sea,2000
16,"""Guarana"" (ガラナ)",Sukima Switch,2006
17,"""Hakanaku mo Towa no Kanashi"" (儚くも永久のカナシ)",Uverworld,2008
18,"""HANABI""",Mr. Children,2008
19,"""Haneuma Rider"" (ハネウマライダー)",Porno Graffitti,2006
20,"""HERO""",Exile,2004
21,"""Hitomi o Tojite"" (瞳をとじて)",Ken Hirai,2004
22,"""Itoshi no Ellie"" (いとしのエリー)",Southern All Stars,1979
23,"""Kanashii iro ya ne"" (悲しい色やね)",Masaki Ueda,1982
24,"""Kanzen kankaku Dreamer"" (完全感覚Dreamer)",One Ok Rock,2010
25,"""Kimagure Romantic"" (気まぐれロマンティック)",Ikimonogakari,2008
26,"""Lies and Truth""",L'Arc-en-Ciel,1996
27,"""Love Machine"" (LOVEマシーン)",Morning Musume,1999
28,"""Love So Sweet""",Arashi,2007
29,"""Luka Luka Night Fever"" (ルカルカ★ナイトフィーバー)",samfree,2009
30,"""Mattete Ai no Uta"" (待ってて愛のうた)",Aqours,2016
31,"""Meikyū Love Song"" (迷宮ラブソング)",Arashi,2011
32,"""Miku Miku ni Shite Ageru"" (みくみくにしてあげる)",Tsuruta Kamo,2007
33,"""Natsuiro Egao de 1,2,Jump!"" (夏色えがおで1,2,Jump!)",µ's,2011
34,"""Niwaka Ame ni Mo Makezu"" (ニワカ雨ニモ負ケズ)",Nico Touches the Walls,2013
35,"""Only My Railgun""",fripSide,2009
36,"""Orange""","Rie Kugimiya, Yui Horie, Eri Kitamura",2009
37,"""Oribia o Kikinagara"" (オリビアを聴きながら)",Anri,1978
38,"""Pieces""",L'Arc-en-Ciel,1999
39,"""Robinson"" (ロビンソン)",Spitz,1995
40,"""Sakura"" (さくら)",Ketsumeishi,2005
41,"""Season in the Sun"" (シーズン・イン・ザ・サン)",Tube,1989
42,"""Sekai de Ichiban Atsui Natsu"" (世界でいちばん熱い夏)",Princess Princess,1987
43,"""silky heart""",Yui Horie,2009
44,"""Sotsugyō Shashin"" (卒業写真)",Yumi Matsutoya,1975
45,"""START:DASH!!""",µ's,2013
46,"""Super Driver""",Aya Hirano,2009
47,"""Tabun"" (たぶん)",Yoasobi,2020
48,"""Uchiage Hanabi"" (打上花火)","Daoko, Kenshi Yonezu",2017
49,"""Unmei no Roulette Mawashite"" (運命のルーレット廻して)",Zard,1998
50,"""Utauyo!!MIRACLE""","Yōko Hikasa, Aki Toyosaki, Satomi Satō, Minako Kotobuki",2010
51,"""White Love""",Speed,1997
52,"""Wonderful Rush""",µ's,2012
53,"""Yes-No""",Off Course,1980
54,"""Zurui onna"" (ズルい女)",Sharam Q,1995
55,"""Zenryoku shōnen"" (全力少年)",Sukima Switch,2005
