,Title,Artist,Year,Progression
0,"""Hero""",Enrique Iglesias,2001,I-vi-IV-V
1,"""The KKK Took My Baby Away""",Ramones,1981,I-vi-IV-V
2,"""Oh, Pretty Woman""","Roy Orbison; Roy Orbison, Bill Dees (writers)",1964,I-vi-IV-V
3,Ain’t I right,Marty Robbins,1966,I-vi-IV-V
4,"""A Teenager in Love""","Dion and the Belmonts; Doc Pomus, Mort Shuman (writers)",1959,I-vi-IV-V
5,"""Angel Baby""",Rosie and the Originals,1960,I-vi-IV-V
6,"""All I Have to Do Is Dream""",The Everly Brothers,1958,I-vi-IV-V
7,"""Baby""",Justin Bieber,2010,I-vi-IV-V
8,"""Baby Doll""",The Buttertones,2016,I-vi-IV-V
9,"""Bad Girl""",The Detroit Cobras,1996,I-vi-IV-V
10,"""Baby, I'm an Anarchist!""",Against Me!,2002,I-vi-IV-V
11,"""Beautiful Girls""",Sean Kingston,2007,I-vi-IV-V
12,"""Beyond the Sea""[6]",Jack Lawrence and Charles Trenet,1946,I-vi-IV-V
13,"""Bleeding Love""",Leona Lewis,2007,I-vi-IV-V
14,"""Blue Moon""",The Marcels,1961,I-vi-IV-V
15,"""Body Feels EXIT""",Namie Amuro,1995,vi-IV-V-I
16,"""Body Say""[7]",Demi Lovato,2016,IV-V-I-vi (chorus)
17,"""Boom Clap""[8]",Charli XCX,2014,IV-V-I-vi
18,"""Brave""[9]",Sara Bareilles,2013,"I-vi-IV-V, I-IV-vi-V"
19,"""Brave as a Noun""",Andrew Jackson Jihad,2007,I-vi-IV-V
20,"""Bristol Stomp""",The Dovells,1961,I-vi-IV-V
21,"""Brokenhearted""",Karmin,2012,I-vi-IV-V
22,"""Burberry Headband""",Lil Mosey,2018,I-vi-IV-V
23,"""Capital Radio""",The Clash,1977,I-vi-IV-V
24,Christmas (Baby Please Come Home),Darlene Love,1963,I-vi-IV-V
25,"""Chain Gang""[10]",Sam Cooke,1960,I-vi-IV-V
26,"""Close Your Eyes""",Meghan Trainor,2014,I-vi-IV-V
27,"""Complicated""",Avril Lavigne,2002,I-vi-IV-V (verses)
28,"""Coney Island Baby""",The Excellents,1962,I-vi-IV-V
29,"""Cradle Rock",The Heartbreakers (Ray Collins/ Frank Zappa),1963,I-vi-IV-V
30,"""Crocodile Rock""[11]",Elton John,1972,I-vi-IV-V
31,"""Can't Stop Lovin' You""",Van Halen,1995,I-vi-IV-V
32,"""Da Doo"", ""Dentist""",Little Shop of Horrors (musical) Original Broadway Cast,1982,I-vi-IV-V
33,"""Dance with Me Tonight""",Olly Murs,2011,I-vi-IV-V
34,"""Dear Future Husband""",Meghan Trainor,2015,I-vi-IV-V
35,"""Donna""[12]",Ritchie Valens,1958,I-vi-IV-V
36,"""Don't Dream It's Over""[13]",Crowded House,1986,IV-V-I-vi
37,"""Don't Say Your Love Is Killing Me""",Erasure,1997,I-vi-IV-V
38,"""Double Shot (Of My Baby's Love)""",The Swingin' Medallions,1966,I-vi-IV-V
39,"""Duke of Earl""[14]",Gene Chandler,1962,I-vi-IV-V
40,"""Dura""",Daddy Yankee,2018,I-vi-IV-V
41,"""D'yer Mak'er""",Led Zeppelin,1973,I-vi-IV-V
42,"""Earth Angel""[12][15]",The Penguins,1954,I-vi-IV-V
43,"""Endless Mine""",Sega,1994,I−vi−IV−V
44,"""Enola Gay""",Orchestral Manoeuvres in the Dark,1980,I-vi-IV-V
45,"""Epiphany""",BTS,2018,I-vi-IV-V
46,"""Eternal Flame""[16]",The Bangles/Atomic Kitten,1989/2001,I-vi-IV-V
47,"""Every Breath You Take""",The Police,1983,I-vi-IV-V
48,"""Eyes of Blue""[17]",Paul Carrack,1995,I-vi-IV-V
49,"""Eyes on Me""",Faye Wong,1999,I-vi-IV-V
50,"""Flightless Bird, American Mouth""",Iron & Wine,2007,I-vi-IV-V
51,"""For Your Precious Love""[18]",Jerry Butler,1958,I-vi-IV-V
52,"""Friday""[19]",Rebecca Black,2011,I-vi-IV-V
53,"""Give a Little Love""[20]",Bay City Rollers,1975,I-vi-IV-V
54,"""Go Cry On Somebody Else's Shoulder""",The Mothers of Invention,1966,I-vi-IV-V
55,"""Girl on Fire""",Alicia Keys,2011,I-vi-IV-V
