,Song title,Artist,Year,Progression,Recorded Key
0,"""10,000 Reasons (Bless the Lord)""[19]",Matt Redman and Jonas Myrin,2012,IV-I-V-vi,G major
1,"""20 Good Reasons""[20]",Thirsty Merc,2007,I-V-vi-IV,Db major
2,"""Africa""[21]",Toto,1982,vi−IV-I-V (chorus),F# minor (chorus)
3,"""Aicha""[22]",Cheb Khaled,1996,vi-IV-I-V,G minor
4,"""Ai Se Eu Te Pego""[23]",Michel Teló,2011,I-V-vi-IV,B major
5,"""Almost""[24]",Bowling for Soup,2005,I-V-vi-IV,B major
6,"""Amaranth""[25]",Nightwish,2007,vi-IV-I-V,D minor
7,"""A New Day Has Come""[26]",Celine Dion,2002,vi-IV-I-V,D# minor
8,"""Apologize""[27]",Timbaland and OneRepublic,2007,vi-IV-I-V,C minor
9,"""As If It's Your Last""[28]",Blackpink,2017,IV−I−V−vi (chorus),Ab major (chorus)
10,"""Bad Blood""[29]",Taylor Swift,2014,IV-I-V-vi,E minor
11,"""Bailando""[30]",Enrique Iglesias feat. Descemer Bueno and Gente de Zona,2014,vi-IV-I-V,E minor
12,"""Beast of Burden""[31]",The Rolling Stones,1978,I-V-vi-IV,E major
13,"""I Don't Want To Be""[32]",Gavin DeGraw,2003,IV-I-V-vi (chorus),Eb major
14,"""Bullet""[33]",Hollywood Undead,2011,I-V-vi-IV,E major
15,"""Bullet with Butterfly Wings""[34]",The Smashing Pumpkins,1995,vi-IV-I-V,Bb minor
16,"""California King Bed""[35]",Rihanna,2011,I-V-vi-IV,G major
17,"""Caramelldansen""[36]",Caramell,2001,I-V-vi-IV,D# major/F# major
18,"""Check Yes Juliet (Run Baby Run)""[37]",We the Kings,2008,vi−I−IV−V (chorus),D major
19,"""Clean""[38]",Taylor Swift,2014,I-V-vi-IV,B major
20,"""Come Over""[39]",Kenny Chesney,2012,vi-IV-I-V,Bb minor
21,"""Cruise""[40]",Florida Georgia Line,2012,I-V-vi-IV,Bb major
22,"""Cryin'""[41]",Aerosmith,1993,I-V-vi-IV,A major (chorus)
23,"""Daddy DJ""[42]",Daddy DJ,1999,vi-IV-I-V,C minor
24,"""Dammit""[31][43]",Blink-182,1997,I-V-vi-IV,C major
25,"""Despacito""[44]",Luis Fonsi,2017,vi-IV-I-V,B minor
26,"""Don't Trust Me""[45]",3OH!3,2008,vi-IV-I-V,Bb major
27,"""Don't You Wanna Stay""[46]",Jason Aldean and Kelly Clarkson,2010,vi-IV-I-V,G# minor
28,"""Dragostea Din Tei""[47]",O-Zone,2003,IV-I-V-vi; vi-IV-I-V,A minor
29,"""Dream Catch Me""[48]",Newton Faulkner,2007,I-V-vi-IV,D major
30,"""Drive By""[49]",Train,2012,vi-IV-I-V; IV-I-V-vi,C# minor
31,"""Electrical Storm""[50]",U2,2002,vi-IV-I-V,F# minor
32,"""Faded""[51]",Alan Walker,2015,vi-IV-I-V,D# minor
33,"""Feeling This""[31][52]",Blink-182,2003,I-V-vi-IV,E major
34,"""Flashlight""[53]",Jessie J,2015,I-V-vi-IV,F major
35,"""For the First Time""[54]",The Script,2010,I-V-vi-IV,A major
36,"""Forever Young""[55]",Alphaville,1984,I-V-vi-IV,C major
37,"""Fuckin' Perfect""[56][57]",P!nk,2010,I-V-vi-IV,G major
38,"""Girls Chase Boys""[58]",Ingrid Michaelson,2014,I−IV−vi−V,Ab major
39,"""Give Me Everything""[59]","Pitbull feat. Ne-Yo, Afrojack, and Nayer",2011,vi-IV-I-V,Eb major
40,"""Glycerine""[60]",Bush,1995,I-V-vi-IV,F major
41,"""Going Away to College""[61]",Blink-182,1999,vi-IV-I-V (chorus),B major
42,"""Hair""[62]",Lady Gaga,2011,I-V-vi-IV,F major
43,"""Hall of Fame""[63]",The Script feat. will.i.am,2012,vi-IV-I-V,G minor
44,"""Happy Ending""[64]",Mika,2007,I-V-vi-IV,Db major
45,"""Heart Attack""[65]",Demi Lovato,2013,IV-I-V-vi; vi-IV-I-V,F minor
46,"""Hello""[66]",Adele,2015,vi-I-V-IV (verse)vi-IV-I-V (chorus),F minor
47,"""Hey Brother""[67]",Avicii,2013,vi-IV-I-V,G minor
48,"""Hide and Seek""[68]",Imogen Heap,2005,I-V-vi-IV,A major
49,"""Home""[69]",Phillip Phillips,2012,IV-I-V-vi; vi-IV-I-V,C major
50,"""Hwaa""[70]",(G)I-dle,2021,vi−IV−I−V,F# minor
51,"""If I Were a Boy""[71]",Beyoncé,2008,vi-IV-I-V,D# minor
52,"""I Just Had Sex""[72]",The Lonely Island feat. Akon,2011,vi-IV-I-V,D# minor
53,"""I'm Goin' Down[73]",Bruce Springsteen,1985,I-V-vi-IV,Bb major
54,"""I'm Yours""[74]",Jason Mraz,2008,I-V-vi-IV,B major
55,"""In My Head""[75]",Jason Derulo,2009,vi-IV-I-V,C minor
56,"""International Love""[76]",Pitbull feat. Chris Brown,2011,vi-IV-I-V,C minor
57,"""In This River""[77]",Black Label Society,2005,vi-IV-I-V,E minor
58,"""I Need Your Love""",Calvin Harris,2013,vi-IV-I-V,C minor
59,"""I Was Here""[78]",Beyoncé,2011,vi-IV-I-V,E minor
60,"""Just a Dream""[79]",Nelly,2010,vi-IV-I-V,D# minor
61,"""Lemonade""[80]",Alexandra Stan,2011,vi-IV-I-V,F# minor
